event_time,applications_last_24h,is_new_device,identity_match_score,device_account_count,payment_account_count,ip_risk_score,fraud_label
2026-01-04T19:00:00+00:00,6,0,0.746,6,5,0.8,1
2026-01-04T20:00:00+00:00,7,0,0.571,4,4,0.029,1
2026-01-04T21:00:00+00:00,6,0,0.848,4,2,0.981,1
2026-01-04T22:00:00+00:00,6,0,0.776,6,1,0.084,1
2026-01-04T23:00:00+00:00,7,0,0.55,3,4,0.327,1
2026-01-05T00:00:00+00:00,5,0,0.869,4,3,0.752,1
2026-01-05T01:00:00+00:00,4,0,0.909,4,1,0.749,1
2026-01-05T02:00:00+00:00,5,1,0.573,1,1,0.754,1
2026-01-05T03:00:00+00:00,3,0,0.912,5,2,0.239,1
2026-01-05T04:00:00+00:00,1,0,0.76,2,4,0.699,1
2026-01-05T05:00:00+00:00,2,0,0.783,6,1,0.778,1
2026-01-05T06:00:00+00:00,4,1,0.509,1,3,0.576,1
2026-01-05T07:00:00+00:00,6,0,0.668,6,2,0.076,1
2026-01-05T08:00:00+00:00,3,0,0.506,3,5,0.806,1
2026-01-05T09:00:00+00:00,0,0,0.641,4,3,0.069,1
2026-01-05T10:00:00+00:00,0,0,0.917,4,1,0.434,1
2026-01-05T11:00:00+00:00,7,0,0.839,4,2,0.734,1
2026-01-05T12:00:00+00:00,4,0,0.789,5,4,0.465,1
2026-01-05T13:00:00+00:00,4,0,0.627,2,1,0.279,0
2026-01-05T14:00:00+00:00,7,0,0.763,6,4,0.336,1
2026-01-05T15:00:00+00:00,5,0,0.55,2,3,0.798,1
2026-01-05T16:00:00+00:00,4,0,0.756,5,2,0.086,1
2026-01-05T17:00:00+00:00,7,0,0.755,2,4,0.646,1
2026-01-05T18:00:00+00:00,0,0,0.501,2,4,0.692,1
2026-01-05T19:00:00+00:00,5,0,0.71,5,3,0.426,1
2026-01-05T20:00:00+00:00,5,0,0.643,4,3,0.307,1
2026-01-05T21:00:00+00:00,3,1,0.624,6,5,0.951,1
2026-01-05T22:00:00+00:00,3,0,0.569,4,3,0.725,1
2026-01-05T23:00:00+00:00,8,0,0.778,1,2,0.296,1
2026-01-06T00:00:00+00:00,4,0,0.458,5,2,0.274,1
2026-01-06T01:00:00+00:00,8,0,0.611,2,4,0.103,1
2026-01-06T02:00:00+00:00,4,1,0.708,4,3,0.184,1
2026-01-06T03:00:00+00:00,7,1,0.513,1,4,0.492,1
2026-01-06T04:00:00+00:00,0,0,0.533,5,3,0.085,1
2026-01-06T05:00:00+00:00,8,1,0.87,5,5,0.791,1
2026-01-06T06:00:00+00:00,8,1,0.659,4,3,0.86,1
2026-01-06T07:00:00+00:00,4,0,0.763,1,5,0.96,1
2026-01-06T08:00:00+00:00,3,1,0.794,3,1,0.157,1
2026-01-06T09:00:00+00:00,1,1,0.536,4,4,0.689,1
2026-01-06T10:00:00+00:00,0,0,0.577,6,3,0.703,1
2026-01-06T11:00:00+00:00,3,0,0.958,6,5,0.661,1
2026-01-06T12:00:00+00:00,6,0,0.513,2,2,0.908,1
2026-01-06T13:00:00+00:00,1,0,0.483,3,5,0.749,1
2026-01-06T14:00:00+00:00,4,0,0.692,4,3,0.7,1
2026-01-06T15:00:00+00:00,8,0,0.747,4,1,0.598,1
2026-01-06T16:00:00+00:00,5,0,0.782,1,1,0.229,1
2026-01-06T17:00:00+00:00,0,0,1.0,6,3,0.576,1
2026-01-06T18:00:00+00:00,2,0,0.709,6,4,0.916,1
2026-01-06T19:00:00+00:00,6,1,0.799,4,1,0.47,1
2026-01-06T20:00:00+00:00,5,0,0.819,2,3,0.412,1
2026-01-06T21:00:00+00:00,6,0,0.897,5,1,0.455,1
2026-01-06T22:00:00+00:00,5,0,0.514,4,5,0.825,1
2026-01-06T23:00:00+00:00,8,1,0.704,1,2,0.518,1
2026-01-07T00:00:00+00:00,7,0,0.794,1,2,0.267,1
2026-01-07T01:00:00+00:00,4,1,0.691,6,4,0.121,1
2026-01-07T02:00:00+00:00,3,0,0.84,3,5,0.014,1
2026-01-07T03:00:00+00:00,3,0,0.996,1,4,0.947,1
2026-01-07T04:00:00+00:00,2,0,0.724,6,3,0.509,1
2026-01-07T05:00:00+00:00,7,0,0.989,2,4,0.551,1
2026-01-07T06:00:00+00:00,8,0,0.86,2,1,0.276,1
2026-01-07T07:00:00+00:00,6,0,0.637,5,3,0.821,1
2026-01-07T08:00:00+00:00,4,0,0.911,5,4,0.865,1
2026-01-07T09:00:00+00:00,7,0,0.64,5,5,0.377,1
2026-01-07T10:00:00+00:00,3,0,0.989,2,5,0.383,1
2026-01-07T11:00:00+00:00,6,0,0.474,6,4,0.705,1
2026-01-07T12:00:00+00:00,6,0,0.994,6,2,0.495,1
2026-01-07T13:00:00+00:00,8,1,0.981,3,1,0.874,1
2026-01-07T14:00:00+00:00,8,0,0.951,1,2,0.41,1
2026-01-07T15:00:00+00:00,2,0,0.491,3,3,0.623,0
2026-01-07T16:00:00+00:00,1,0,0.918,6,5,0.38,1
2026-01-07T17:00:00+00:00,7,0,0.93,1,5,0.068,1
2026-01-07T18:00:00+00:00,4,0,0.999,6,1,0.434,1
2026-01-07T19:00:00+00:00,1,1,0.694,6,3,0.903,1
2026-01-07T20:00:00+00:00,0,1,0.611,3,4,0.146,1
2026-01-07T21:00:00+00:00,2,0,0.543,1,5,0.871,1
2026-01-07T22:00:00+00:00,3,0,0.724,5,2,0.232,1
2026-01-07T23:00:00+00:00,7,0,0.59,1,4,0.901,1
2026-01-08T00:00:00+00:00,2,0,0.491,3,5,0.299,1
2026-01-08T01:00:00+00:00,4,0,0.701,3,2,0.999,1
2026-01-08T02:00:00+00:00,1,0,0.58,5,3,0.575,1
2026-01-08T03:00:00+00:00,4,0,0.462,6,4,0.274,1
2026-01-08T04:00:00+00:00,0,0,0.951,6,4,0.833,1
2026-01-08T05:00:00+00:00,3,0,0.784,3,2,0.637,0
2026-01-08T06:00:00+00:00,2,0,0.796,6,1,0.309,1
2026-01-08T07:00:00+00:00,5,0,0.853,1,3,0.327,1
2026-01-08T08:00:00+00:00,3,0,0.523,5,3,0.531,1
2026-01-08T09:00:00+00:00,2,0,0.591,4,3,0.747,1
2026-01-08T10:00:00+00:00,1,0,0.708,1,2,0.754,0
2026-01-08T11:00:00+00:00,6,1,0.982,5,3,0.09,1
2026-01-08T12:00:00+00:00,4,0,0.745,4,3,0.673,1
2026-01-08T13:00:00+00:00,6,0,0.902,3,1,0.675,1
2026-01-08T14:00:00+00:00,8,0,0.63,5,2,0.648,1
2026-01-08T15:00:00+00:00,7,0,0.95,3,4,0.117,1
2026-01-08T16:00:00+00:00,0,1,0.617,4,1,0.097,1
2026-01-08T17:00:00+00:00,2,0,0.664,3,5,0.419,1
2026-01-08T18:00:00+00:00,2,0,0.937,6,1,0.834,1
2026-01-08T19:00:00+00:00,4,0,0.468,3,2,0.443,0
2026-01-08T20:00:00+00:00,5,0,0.505,6,3,0.544,1
2026-01-08T21:00:00+00:00,5,0,0.483,3,2,0.968,1
2026-01-08T22:00:00+00:00,7,0,0.5,2,5,0.971,1
2026-01-08T23:00:00+00:00,5,1,0.584,2,5,0.205,1
2026-01-09T00:00:00+00:00,8,0,0.564,2,2,0.329,1
2026-01-09T01:00:00+00:00,0,1,0.603,2,2,0.54,1
2026-01-09T02:00:00+00:00,1,0,0.814,1,2,0.015,0
2026-01-09T03:00:00+00:00,3,0,0.774,1,2,0.265,0
2026-01-09T04:00:00+00:00,6,1,0.739,6,1,0.476,1
2026-01-09T05:00:00+00:00,8,0,0.777,4,5,0.222,1
2026-01-09T06:00:00+00:00,8,0,0.616,6,1,0.061,1
2026-01-09T07:00:00+00:00,6,0,0.684,1,4,0.712,1
2026-01-09T08:00:00+00:00,1,0,0.627,2,1,0.126,0
2026-01-09T09:00:00+00:00,8,0,0.842,4,5,0.531,1
2026-01-09T10:00:00+00:00,6,0,0.505,6,1,0.853,1
2026-01-09T11:00:00+00:00,8,0,0.846,2,4,0.452,1
2026-01-09T12:00:00+00:00,5,1,0.905,4,4,0.73,1
2026-01-09T13:00:00+00:00,5,0,0.816,3,2,0.687,1
2026-01-09T14:00:00+00:00,1,0,0.907,1,4,0.097,1
2026-01-09T15:00:00+00:00,2,0,0.756,5,5,0.562,1
2026-01-09T16:00:00+00:00,6,0,0.644,6,4,0.868,1
2026-01-09T17:00:00+00:00,4,0,0.78,3,1,0.578,0
2026-01-09T18:00:00+00:00,7,1,0.573,1,3,0.845,1
2026-01-09T19:00:00+00:00,4,0,0.766,4,5,0.975,1
2026-01-09T20:00:00+00:00,8,0,0.464,6,3,0.029,1
2026-01-09T21:00:00+00:00,4,0,0.957,3,1,0.181,0
2026-01-09T22:00:00+00:00,6,1,0.488,6,1,0.092,1
2026-01-09T23:00:00+00:00,6,0,0.681,3,2,0.37,1
2026-01-10T00:00:00+00:00,1,0,0.936,2,2,0.754,0
2026-01-10T01:00:00+00:00,1,1,0.6,6,4,0.486,1
2026-01-10T02:00:00+00:00,4,0,0.569,5,1,0.345,1
2026-01-10T03:00:00+00:00,7,1,0.74,3,1,0.221,1
2026-01-10T04:00:00+00:00,0,0,0.454,3,2,0.767,0
2026-01-10T05:00:00+00:00,4,0,0.63,1,4,0.747,1
2026-01-10T06:00:00+00:00,6,1,0.743,2,5,0.559,1
2026-01-10T07:00:00+00:00,5,0,0.49,6,1,0.436,1
2026-01-10T08:00:00+00:00,1,0,0.924,5,4,0.573,1
2026-01-10T09:00:00+00:00,6,0,0.609,4,1,0.966,1
2026-01-10T10:00:00+00:00,7,1,0.908,3,1,0.437,1
2026-01-10T11:00:00+00:00,6,1,0.774,5,1,0.396,1
2026-01-10T12:00:00+00:00,5,0,0.572,2,1,0.51,1
2026-01-10T13:00:00+00:00,8,1,0.557,3,3,0.727,1
2026-01-10T14:00:00+00:00,2,0,0.58,2,3,0.197,0
2026-01-10T15:00:00+00:00,1,0,0.547,6,4,0.464,1
2026-01-10T16:00:00+00:00,7,0,0.825,5,5,0.323,1
2026-01-10T17:00:00+00:00,5,0,0.533,1,4,0.442,1
2026-01-10T18:00:00+00:00,4,0,0.775,3,5,0.074,1
2026-01-10T19:00:00+00:00,0,0,0.481,3,1,0.645,0
2026-01-10T20:00:00+00:00,1,0,0.788,5,4,0.463,1
2026-01-10T21:00:00+00:00,0,0,0.697,5,2,0.322,1
2026-01-10T22:00:00+00:00,2,0,0.977,4,1,0.811,1
2026-01-10T23:00:00+00:00,1,0,0.728,2,1,0.248,0
2026-01-11T00:00:00+00:00,7,0,0.738,5,2,0.364,1
2026-01-11T01:00:00+00:00,6,0,0.675,3,5,0.052,1
2026-01-11T02:00:00+00:00,5,0,0.486,1,5,0.678,1
2026-01-11T03:00:00+00:00,2,0,0.633,5,2,0.917,1
2026-01-11T04:00:00+00:00,6,0,0.521,6,1,0.31,1
2026-01-11T05:00:00+00:00,5,0,0.897,6,5,0.093,1
2026-01-11T06:00:00+00:00,8,0,0.649,3,3,0.18,1
2026-01-11T07:00:00+00:00,7,1,0.556,2,2,0.077,1
2026-01-11T08:00:00+00:00,1,0,0.729,5,5,0.038,1
2026-01-11T09:00:00+00:00,2,0,0.778,2,2,0.181,0
2026-01-11T10:00:00+00:00,2,0,0.847,1,4,0.364,1
2026-01-11T11:00:00+00:00,7,0,0.786,6,4,0.234,1
2026-01-11T12:00:00+00:00,7,1,0.947,2,3,0.678,1
2026-01-11T13:00:00+00:00,7,0,0.704,3,4,0.503,1
2026-01-11T14:00:00+00:00,2,0,0.899,5,2,0.873,1
2026-01-11T15:00:00+00:00,7,1,0.931,5,1,0.711,1
2026-01-11T16:00:00+00:00,1,0,0.607,2,3,0.449,0
2026-01-11T17:00:00+00:00,6,0,0.5,2,4,0.885,1
2026-01-11T18:00:00+00:00,6,0,0.479,5,3,0.236,1
2026-01-11T19:00:00+00:00,5,0,0.573,3,1,0.839,1
2026-01-11T20:00:00+00:00,2,0,0.526,3,4,0.696,1
2026-01-11T21:00:00+00:00,7,1,0.697,1,1,0.019,1
2026-01-11T22:00:00+00:00,2,1,0.752,6,5,0.528,1
2026-01-11T23:00:00+00:00,4,1,0.581,1,1,0.238,1
2026-01-12T00:00:00+00:00,7,0,0.485,4,5,0.536,1
2026-01-12T01:00:00+00:00,3,0,0.845,3,4,0.002,1
2026-01-12T02:00:00+00:00,6,0,0.553,6,1,0.523,1
2026-01-12T03:00:00+00:00,8,0,0.749,5,5,0.02,1
2026-01-12T04:00:00+00:00,0,0,0.8,3,3,0.747,0
2026-01-12T05:00:00+00:00,1,0,0.64,6,1,0.772,1
2026-01-12T06:00:00+00:00,5,0,0.523,3,5,0.339,1
2026-01-12T07:00:00+00:00,7,0,0.989,4,2,0.811,1
2026-01-12T08:00:00+00:00,7,1,0.47,2,1,0.791,1
2026-01-12T09:00:00+00:00,5,0,0.963,5,4,0.989,1
2026-01-12T10:00:00+00:00,4,0,0.47,6,2,0.286,1
2026-01-12T11:00:00+00:00,0,0,0.926,3,3,0.124,0
2026-01-12T12:00:00+00:00,6,0,0.859,4,3,0.974,1
2026-01-12T13:00:00+00:00,7,0,0.652,5,3,0.801,1
2026-01-12T14:00:00+00:00,1,0,0.687,2,5,0.294,1
2026-01-12T15:00:00+00:00,5,1,0.814,3,4,0.603,1
2026-01-12T16:00:00+00:00,7,0,0.643,1,3,0.615,1
2026-01-12T17:00:00+00:00,0,0,0.491,6,4,0.363,1
2026-01-12T18:00:00+00:00,2,0,0.974,2,5,0.678,1
2026-01-12T19:00:00+00:00,2,0,0.487,6,3,0.362,1
2026-01-12T20:00:00+00:00,0,0,0.783,6,4,0.949,1
2026-01-12T21:00:00+00:00,1,0,0.766,5,3,0.398,1
2026-01-12T22:00:00+00:00,3,0,0.978,1,2,0.499,0
2026-01-12T23:00:00+00:00,8,0,0.515,3,4,0.215,1
2026-01-13T00:00:00+00:00,7,0,0.56,2,1,0.452,1
2026-01-13T01:00:00+00:00,7,0,0.998,6,3,0.668,1
2026-01-13T02:00:00+00:00,8,0,0.748,3,2,0.712,1
2026-01-13T03:00:00+00:00,2,0,0.887,5,2,0.121,1
2026-01-13T04:00:00+00:00,2,1,0.58,4,1,0.361,1
2026-01-13T05:00:00+00:00,7,0,0.892,5,2,0.612,1
2026-01-13T06:00:00+00:00,4,1,0.669,6,4,0.526,1
2026-01-13T07:00:00+00:00,1,0,0.519,3,1,0.45,0
2026-01-13T08:00:00+00:00,5,0,0.521,5,5,0.182,1
2026-01-13T09:00:00+00:00,6,0,0.727,1,1,0.518,1
2026-01-13T10:00:00+00:00,2,0,0.627,6,2,0.346,1
2026-01-13T11:00:00+00:00,4,0,0.915,3,2,0.635,0
2026-01-13T12:00:00+00:00,2,0,0.794,5,5,0.093,1
2026-01-13T13:00:00+00:00,2,0,0.544,5,5,0.338,1
2026-01-13T14:00:00+00:00,0,0,0.904,1,1,0.045,0
2026-01-13T15:00:00+00:00,4,0,0.808,5,4,0.618,1
2026-01-13T16:00:00+00:00,8,1,0.609,3,4,0.245,1
2026-01-13T17:00:00+00:00,6,0,0.614,1,1,0.158,1
2026-01-13T18:00:00+00:00,7,0,0.562,5,2,0.313,1
2026-01-13T19:00:00+00:00,5,0,0.986,2,3,0.515,1
2026-01-13T20:00:00+00:00,3,1,0.707,3,4,0.248,1
2026-01-13T21:00:00+00:00,4,1,0.97,5,4,0.248,1
2026-01-13T22:00:00+00:00,2,0,0.897,5,3,0.19,1
2026-01-13T23:00:00+00:00,8,1,0.707,3,4,0.023,1
2026-01-14T00:00:00+00:00,8,0,0.701,2,2,0.583,1
2026-01-14T01:00:00+00:00,4,1,0.722,6,4,0.286,1
2026-01-14T02:00:00+00:00,1,1,0.687,3,3,0.764,1
2026-01-14T03:00:00+00:00,6,0,0.478,5,2,0.363,1
2026-01-14T04:00:00+00:00,6,0,0.727,5,3,0.825,1
2026-01-14T05:00:00+00:00,1,0,0.521,1,4,0.373,1
2026-01-14T06:00:00+00:00,8,0,0.966,2,2,0.602,1
2026-01-14T07:00:00+00:00,0,0,0.475,2,3,0.804,0
2026-01-14T08:00:00+00:00,2,0,0.783,5,2,0.328,1
2026-01-14T09:00:00+00:00,2,0,0.666,5,3,0.594,1
2026-01-14T10:00:00+00:00,8,0,0.743,6,5,0.3,1
2026-01-14T11:00:00+00:00,5,0,0.632,1,4,0.584,1
2026-01-14T12:00:00+00:00,0,0,0.778,3,5,0.578,1
2026-01-14T13:00:00+00:00,7,0,0.544,6,5,0.775,1
2026-01-14T14:00:00+00:00,3,0,0.467,6,1,0.191,1
2026-01-14T15:00:00+00:00,6,0,0.533,6,2,0.41,1
2026-01-14T16:00:00+00:00,7,0,0.93,6,1,0.706,1
2026-01-14T17:00:00+00:00,8,0,0.629,6,4,0.525,1
2026-01-14T18:00:00+00:00,2,0,0.703,5,3,0.546,1
2026-01-14T19:00:00+00:00,4,0,0.786,2,2,0.279,0
2026-01-14T20:00:00+00:00,4,0,0.874,6,2,0.69,1
2026-01-14T21:00:00+00:00,7,0,0.642,6,3,0.288,1
2026-01-14T22:00:00+00:00,8,0,0.659,4,3,0.955,1
2026-01-14T23:00:00+00:00,4,0,0.473,6,1,0.346,1
2026-01-15T00:00:00+00:00,4,0,0.861,2,2,0.828,0
2026-01-15T01:00:00+00:00,8,0,0.833,2,1,0.616,1
2026-01-15T02:00:00+00:00,3,0,0.478,5,2,0.638,1
2026-01-15T03:00:00+00:00,6,1,0.632,4,1,0.681,1
2026-01-15T04:00:00+00:00,8,1,0.988,2,4,0.653,1
2026-01-15T05:00:00+00:00,7,0,0.713,2,3,0.321,1
2026-01-15T06:00:00+00:00,1,0,0.809,2,5,0.739,1
2026-01-15T07:00:00+00:00,0,0,0.952,2,4,0.882,1
2026-01-15T08:00:00+00:00,0,1,0.998,4,4,0.186,1
2026-01-15T09:00:00+00:00,4,0,0.932,1,3,0.568,0
2026-01-15T10:00:00+00:00,5,1,0.607,6,5,0.524,1
2026-01-15T11:00:00+00:00,2,0,0.918,4,3,0.193,1
2026-01-15T12:00:00+00:00,2,1,0.852,6,3,0.719,1
2026-01-15T13:00:00+00:00,5,1,0.885,5,2,0.175,1
2026-01-15T14:00:00+00:00,6,0,0.905,5,3,0.087,1
2026-01-15T15:00:00+00:00,2,0,0.99,4,3,0.936,1
2026-01-15T16:00:00+00:00,6,1,0.58,3,3,0.302,1
2026-01-15T17:00:00+00:00,0,0,0.594,3,2,0.062,0
2026-01-15T18:00:00+00:00,4,1,0.538,6,5,0.923,1
2026-01-15T19:00:00+00:00,4,0,0.83,6,3,0.368,1
2026-01-15T20:00:00+00:00,2,1,0.713,4,5,0.374,1
2026-01-15T21:00:00+00:00,7,0,0.867,6,2,0.762,1
2026-01-15T22:00:00+00:00,1,0,0.739,5,3,0.078,1
2026-01-15T23:00:00+00:00,0,0,0.906,5,2,0.573,1
2026-01-16T00:00:00+00:00,5,1,0.92,4,1,0.68,1
2026-01-16T01:00:00+00:00,7,0,0.5,5,4,0.809,1
2026-01-16T02:00:00+00:00,8,0,0.678,5,1,0.559,1
2026-01-16T03:00:00+00:00,4,0,0.848,4,3,0.816,1
2026-01-16T04:00:00+00:00,1,0,0.475,3,1,0.541,0
2026-01-16T05:00:00+00:00,1,1,0.992,4,1,0.287,1
2026-01-16T06:00:00+00:00,2,1,0.871,6,4,0.374,1
2026-01-16T07:00:00+00:00,7,0,0.928,4,4,0.08,1
2026-01-16T08:00:00+00:00,8,0,0.523,3,1,0.178,1
2026-01-16T09:00:00+00:00,8,0,0.52,2,1,0.756,1
2026-01-16T10:00:00+00:00,7,0,0.82,5,4,0.532,1
2026-01-16T11:00:00+00:00,3,0,0.703,2,3,0.188,0
2026-01-16T12:00:00+00:00,1,0,0.468,6,4,0.615,1
2026-01-16T13:00:00+00:00,0,0,0.582,1,1,0.594,0
2026-01-16T14:00:00+00:00,0,0,0.585,1,4,0.439,1
2026-01-16T15:00:00+00:00,0,0,0.527,3,2,0.816,0
2026-01-16T16:00:00+00:00,5,0,0.768,6,3,0.237,1
2026-01-16T17:00:00+00:00,8,0,0.572,3,3,0.061,1
2026-01-16T18:00:00+00:00,2,0,0.794,4,5,0.496,1
2026-01-16T19:00:00+00:00,6,0,0.882,3,4,0.408,1
2026-01-16T20:00:00+00:00,2,0,0.865,4,2,0.849,1
2026-01-16T21:00:00+00:00,2,0,0.893,1,5,0.413,1
2026-01-16T22:00:00+00:00,8,0,0.524,2,3,0.203,1
2026-01-16T23:00:00+00:00,7,0,0.916,1,5,0.725,1
2026-01-17T00:00:00+00:00,4,1,0.657,5,5,0.04,1
2026-01-17T01:00:00+00:00,8,1,0.569,2,3,0.303,1
2026-01-17T02:00:00+00:00,3,0,0.965,6,1,0.747,1
2026-01-17T03:00:00+00:00,3,0,0.833,6,2,0.397,1
2026-01-17T04:00:00+00:00,5,1,0.877,4,4,0.534,1
2026-01-17T05:00:00+00:00,4,0,0.648,4,4,0.099,1
2026-01-17T06:00:00+00:00,7,0,0.869,3,2,0.371,1
2026-01-17T07:00:00+00:00,3,0,0.858,1,3,0.553,0
2026-01-17T08:00:00+00:00,6,0,0.612,2,3,0.23,1
2026-01-17T09:00:00+00:00,3,0,0.725,6,3,0.257,1
2026-01-17T10:00:00+00:00,7,0,0.703,6,3,0.169,1
2026-01-17T11:00:00+00:00,7,0,0.551,5,1,0.524,1
2026-01-17T12:00:00+00:00,1,0,0.97,6,1,0.764,1
